date,total_revenue,total_qty,num_items,year,volta_as_aulas,carnaval,semana_santa,sao_joao,dia_namorados,dia_maes,dia_pais,dia_criancas,black_friday,natal
2024-07-08,16153.52,55,36,2024,0,0,0,0,0,0,0,0,0,0
2024-07-09,48674.28,108,64,2024,0,0,0,0,0,0,0,0,0,0
2024-07-10,12655.09,77,37,2024,0,0,0,0,0,0,0,0,0,0
2024-07-11,36567.130000000005,82,54,2024,0,0,0,0,0,0,0,0,0,0
2024-07-12,24932.93,113,65,2024,0,0,0,0,0,0,0,0,0,0
2024-07-13,105805.1,166,97,2024,0,0,0,0,0,0,0,0,0,0
2024-07-14,82276.39,139,81,2024,0,0,0,0,0,0,0,0,0,0
2024-07-15,24324.100000000002,69,43,2024,0,0,0,0,0,0,0,0,0,0
2024-07-16,53830.909999999996,83,42,2024,0,0,0,0,0,0,0,0,0,0
2024-07-17,86644.22,81,50,2024,0,0,0,0,0,0,0,0,0,0
2024-07-18,51752.590000000004,103,56,2024,0,0,0,0,0,0,0,0,0,0
2024-07-19,25410.27,85,52,2024,0,0,0,0,0,0,0,0,0,0
2024-07-20,77978.0,134,82,2024,0,0,0,0,0,0,0,0,0,0
2024-07-21,43775.34,82,61,2024,0,0,0,0,0,0,0,0,0,0
2024-07-22,64551.51,84,44,2024,0,0,0,0,0,0,0,0,0,0
2024-07-23,17864.65,47,34,2024,0,0,0,0,0,0,0,0,0,0
2024-07-24,35820.71,59,40,2024,0,0,0,0,0,0,0,0,0,0
2024-07-25,22571.75,77,54,2024,0,0,0,0,0,0,0,0,0,0
2024-07-26,41495.93,69,52,2024,0,0,0,0,0,0,0,0,0,0
2024-07-27,41463.299999999996,110,71,2024,0,0,0,0,0,0,0,0,0,0
2024-07-28,40872.91,92,62,2024,0,0,0,0,0,0,0,0,0,0
2024-07-29,54147.899999999994,56,32,2024,0,0,0,0,0,0,0,0,0,0
2024-07-30,68126.02,116,76,2024,0,0,0,0,0,0,0,0,0,0
2024-07-31,33509.73,88,47,2024,0,0,0,0,0,0,0,0,0,0
2024-08-01,58797.25,97,70,2024,0,0,0,0,0,0,0,0,0,0
2024-08-02,49969.8,86,50,2024,0,0,0,0,0,0,0,0,0,0
2024-08-03,41386.829999999994,114,66,2024,0,0,0,0,0,0,0,0,0,0
2024-08-04,10339.35,80,46,2024,0,0,0,0,0,0,0,0,0,0
2024-08-05,50899.75,53,30,2024,0,0,0,0,0,0,1,0,0,0
2024-08-06,12577.87,71,40,2024,0,0,0,0,0,0,1,0,0,0
2024-08-07,10630.55,24,20,2024,0,0,0,0,0,0,1,0,0,0
2024-08-08,29147.329999999998,50,29,2024,0,0,0,0,0,0,1,0,0,0
2024-08-09,36669.81,99,60,2024,0,0,0,0,0,0,1,0,0,0
2024-08-10,35454.89,93,53,2024,0,0,0,0,0,0,1,0,0,0
2024-08-11,16789.95,55,43,2024,0,0,0,0,0,0,1,0,0,0
2024-08-12,24762.27,81,49,2024,0,0,0,0,0,0,0,0,0,0
2024-08-13,17966.24,34,28,2024,0,0,0,0,0,0,0,0,0,0
2024-08-14,6043.46,66,37,2024,0,0,0,0,0,0,0,0,0,0
2024-08-15,31933.66,42,30,2024,0,0,0,0,0,0,0,0,0,0
2024-08-16,9922.99,58,33,2024,0,0,0,0,0,0,0,0,0,0
2024-08-17,51640.85,105,70,2024,0,0,0,0,0,0,0,0,0,0
2024-08-18,24348.83,74,48,2024,0,0,0,0,0,0,0,0,0,0
2024-08-19,31914.11,95,61,2024,0,0,0,0,0,0,0,0,0,0
2024-08-20,17204.920000000002,61,37,2024,0,0,0,0,0,0,0,0,0,0
